trial,cond,face,subj,acc,order,fam,grp
Johan_0,1,Johan,1,1,4,10,cbu
Tina_0,1,Tina,1,1,4,3,cbu
Steve_0,1,Steve,1,0,4,6,cbu
Rik_0,1,Rik,1,1,4,10,cbu
Sneha_0,1,Sneha,1,1,4,10,cbu
Verity_0,1,Verity,1,0,4,6,cbu
Holly_0,1,Holly,1,0,4,3,cbu
Clare_0,1,Clare,1,0,4,4,cbu
Marta_0,1,Marta,1,1,4,10,cbu
Matt_0,1,Matt,1,0,4,8,cbu
Johan_0,1,Johan,2,1,4,10,cbu
Tina_0,1,Tina,2,1,4,10,cbu
Steve_0,1,Steve,2,0,4,8,cbu
Rik_0,1,Rik,2,1,4,10,cbu
Sneha_0,1,Sneha,2,1,4,7,cbu
Verity_0,1,Verity,2,1,4,10,cbu
Holly_0,1,Holly,2,1,4,7,cbu
Clare_0,1,Clare,2,0,4,10,cbu
Marta_0,1,Marta,2,0,4,10,cbu
Matt_0,1,Matt,2,0,4,10,cbu
Johan_0,1,Johan,3,1,3,10,cbu
Tina_0,1,Tina,3,1,3,8,cbu
Steve_0,1,Steve,3,1,3,9,cbu
Rik_0,1,Rik,3,1,3,10,cbu
Sneha_0,1,Sneha,3,1,3,10,cbu
Verity_0,1,Verity,3,0,3,10,cbu
Holly_0,1,Holly,3,1,3,3,cbu
Clare_0,1,Clare,3,0,3,7,cbu
Marta_0,1,Marta,3,0,3,9,cbu
Matt_0,1,Matt,3,0,3,9,cbu
Johan_0,1,Johan,4,1,4,9,cbu
Tina_0,1,Tina,4,0,4,7,cbu
Steve_0,1,Steve,4,1,4,8,cbu
Rik_0,1,Rik,4,1,4,8,cbu
Sneha_0,1,Sneha,4,1,4,6,cbu
Verity_0,1,Verity,4,1,4,5,cbu
Holly_0,1,Holly,4,1,4,6,cbu
Clare_0,1,Clare,4,0,4,7,cbu
Marta_0,1,Marta,4,0,4,8,cbu
Matt_0,1,Matt,4,0,4,8,cbu
Johan_0,1,Johan,5,1,1,7,cbu
Tina_0,1,Tina,5,1,1,10,cbu
Steve_0,1,Steve,5,1,1,9,cbu
Rik_0,1,Rik,5,0,1,8,cbu
Sneha_0,1,Sneha,5,1,1,8,cbu
Verity_0,1,Verity,5,0,1,8,cbu
Holly_0,1,Holly,5,0,1,7,cbu
Clare_0,1,Clare,5,1,1,10,cbu
Marta_0,1,Marta,5,0,1,7,cbu
Matt_0,1,Matt,5,0,1,7,cbu
Johan_0,1,Johan,6,1,1,10,cbu
Tina_0,1,Tina,6,1,1,10,cbu
Steve_0,1,Steve,6,1,1,8,cbu
Rik_0,1,Rik,6,1,1,10,cbu
Sneha_0,1,Sneha,6,1,1,9,cbu
Verity_0,1,Verity,6,0,1,8,cbu
Holly_0,1,Holly,6,0,1,9,cbu
Clare_0,1,Clare,6,1,1,10,cbu
Marta_0,1,Marta,6,0,1,10,cbu
Matt_0,1,Matt,6,0,1,10,cbu
Johan_0,1,Johan,7,1,1,8,cbu
Tina_0,1,Tina,7,1,1,10,cbu
Steve_0,1,Steve,7,1,1,10,cbu
Rik_0,1,Rik,7,1,1,10,cbu
Sneha_0,1,Sneha,7,1,1,10,cbu
Verity_0,1,Verity,7,0,1,10,cbu
Holly_0,1,Holly,7,0,1,10,cbu
Clare_0,1,Clare,7,0,1,10,cbu
Marta_0,1,Marta,7,0,1,10,cbu
Matt_0,1,Matt,7,0,1,10,cbu
Johan_0,1,Johan,8,1,2,8,cbu
Tina_0,1,Tina,8,1,2,9,cbu
Steve_0,1,Steve,8,0,2,9,cbu
Rik_0,1,Rik,8,0,2,10,cbu
Sneha_0,1,Sneha,8,1,2,7,cbu
Verity_0,1,Verity,8,1,2,7,cbu
Holly_0,1,Holly,8,1,2,8,cbu
Clare_0,1,Clare,8,1,2,8,cbu
Marta_0,1,Marta,8,1,2,7,cbu
Matt_0,1,Matt,8,0,2,9,cbu
Johan_0,1,Johan,9,1,2,5,cbu
Tina_0,1,Tina,9,1,2,5,cbu
Steve_0,1,Steve,9,1,2,7,cbu
Rik_0,1,Rik,9,1,2,7,cbu
Sneha_0,1,Sneha,9,1,2,3,cbu
Verity_0,1,Verity,9,0,2,3,cbu
Holly_0,1,Holly,9,0,2,8,cbu
Clare_0,1,Clare,9,0,2,8,cbu
Marta_0,1,Marta,9,1,2,6,cbu
Matt_0,1,Matt,9,1,2,6,cbu
Johan_0,1,Johan,10,1,3,9,cbu
Tina_0,1,Tina,10,0,3,9,cbu
Steve_0,1,Steve,10,0,3,9,cbu
Rik_0,1,Rik,10,1,3,10,cbu
Sneha_0,1,Sneha,10,1,3,8,cbu
Verity_0,1,Verity,10,0,3,9,cbu
Holly_0,1,Holly,10,0,3,7,cbu
Clare_0,1,Clare,10,1,3,8,cbu
Marta_0,1,Marta,10,1,3,8,cbu
Matt_0,1,Matt,10,0,3,8,cbu
Johan_0,1,Johan,11,1,3,9,cbu
Tina_0,1,Tina,11,1,3,10,cbu
Steve_0,1,Steve,11,0,3,10,cbu
Rik_0,1,Rik,11,1,3,10,cbu
Sneha_0,1,Sneha,11,0,3,8,cbu
Verity_0,1,Verity,11,0,3,9,cbu
Holly_0,1,Holly,11,1,3,10,cbu
Clare_0,1,Clare,11,0,3,10,cbu
Marta_0,1,Marta,11,1,3,10,cbu
Matt_0,1,Matt,11,0,3,10,cbu
Johan_0,1,Johan,12,1,4,10,cbu
Tina_0,1,Tina,12,1,4,10,cbu
Steve_0,1,Steve,12,1,4,10,cbu
Rik_0,1,Rik,12,1,4,10,cbu
Sneha_0,1,Sneha,12,0,4,6,cbu
Verity_0,1,Verity,12,0,4,4,cbu
Holly_0,1,Holly,12,0,4,4,cbu
Clare_0,1,Clare,12,0,4,10,cbu
Marta_0,1,Marta,12,1,4,2,cbu
Matt_0,1,Matt,12,0,4,10,cbu
Johan_0,1,Johan,13,1,2,7,cbu
Tina_0,1,Tina,13,0,2,6,cbu
Steve_0,1,Steve,13,1,2,6,cbu
Rik_0,1,Rik,13,1,2,7,cbu
Sneha_0,1,Sneha,13,1,2,5,cbu
Verity_0,1,Verity,13,0,2,4,cbu
Holly_0,1,Holly,13,0,2,3,cbu
Clare_0,1,Clare,13,1,2,6,cbu
Marta_0,1,Marta,13,0,2,6,cbu
Matt_0,1,Matt,13,0,2,4,cbu
Johan_0,1,Johan,14,1,4,8,cbu
Tina_0,1,Tina,14,1,4,10,cbu
Steve_0,1,Steve,14,0,4,8,cbu
Rik_0,1,Rik,14,0,4,9,cbu
Sneha_0,1,Sneha,14,0,4,3,cbu
Verity_0,1,Verity,14,0,4,0,cbu
Holly_0,1,Holly,14,0,4,10,cbu
Clare_0,1,Clare,14,0,4,10,cbu
Marta_0,1,Marta,14,1,4,8,cbu
Matt_0,1,Matt,14,0,4,7,cbu
Johan_0,1,Johan,15,1,3,6,cbu
Tina_0,1,Tina,15,0,3,9,cbu
Steve_0,1,Steve,15,1,3,6,cbu
Rik_0,1,Rik,15,1,3,8,cbu
Sneha_0,1,Sneha,15,1,3,4,cbu
Verity_0,1,Verity,15,0,3,4,cbu
Holly_0,1,Holly,15,0,3,3,cbu
Clare_0,1,Clare,15,0,3,9,cbu
Marta_0,1,Marta,15,1,3,8,cbu
Matt_0,1,Matt,15,0,3,10,cbu
Johan_0,1,Johan,16,1,4,8,cbu
Tina_0,1,Tina,16,1,4,5,cbu
Steve_0,1,Steve,16,0,4,6,cbu
Rik_0,1,Rik,16,1,4,7,cbu
Sneha_0,1,Sneha,16,1,4,10,cbu
Verity_0,1,Verity,16,0,4,7,cbu
Holly_0,1,Holly,16,0,4,7,cbu
Clare_0,1,Clare,16,0,4,6,cbu
